camis,dba,boro,bin,bbl,cuisine_description
41620293,POPEYES,Brooklyn,3097665,3043460030,Chicken
41620301,TACO VELOZ VIP,Bronx,2000603,2023010041,Tex-Mex
41620314,STAR'S CAFE (WESTIN HOTEL),Manhattan,1087141,1010140058,American
41620315,TACOS GLORIA,Queens,4047857,4019440023,Tex-Mex
41620333,BEIJING HOUSE,Brooklyn,3078864,3034120008,Chinese
41620437,PIZZA & BAGEL ON 3RD,Brooklyn,3009147,3006360064,Sandwiches
41620607,CAFE ONE,Manhattan,1061193,1020570029,American
41620680,THE SMITH,Manhattan,1039628,1013430049,American
41620905,IL TINELLO RISTORANTE,Manhattan,1034836,1012710049,Italian
41621139,TRE SORELLE,Manhattan,1001625,1001490003,Italian
41621218,SEA WITCH,Brooklyn,3017511,3008970003,American
